DateTime,load,PV,EV
2021-01-01 00:00:00,396.2812804,0.0574,1.80E+04
2021-01-01 00:15:00,405.1880393,0.07575,1
2021-01-01 00:30:00,349.8684398,0.0716,1
2021-01-01 00:45:00,349.1776751,0.0804,1
2021-01-01 01:00:00,312.448105,0.08925,1
2021-01-01 01:15:00,348.2338131,0.0928,1
2021-01-01 01:30:00,358.5306338,0.09785,1
2021-01-01 01:45:00,383.7749578,0.1033,1
2021-01-01 02:00:00,782.686255,0.1068,1
2021-01-01 02:15:00,1651.633996,0.1009,1
2021-01-01 02:30:00,1938.991361,0.1148,1
2021-01-01 02:45:00,2135.515415,0.11105,1
2021-01-01 03:00:00,2311.057142,0.1179,1
2021-01-01 03:15:00,2119.203538,0.1234,1
2021-01-01 03:30:00,1525.81901,0.11075,1
2021-01-01 03:45:00,1371.530743,0.1176,1
2021-01-01 04:00:00,477.6192466,0.1171,1.00E+00
2021-01-01 04:15:00,352.2881757,0.1168,1
2021-01-01 04:30:00,361.5123923,0.11605,1
2021-01-01 04:45:00,352.2881792,0.1136,1
2021-01-01 05:00:00,380.6816512,0.1091,1
2021-01-01 05:15:00,457.6202557,0.1127,1
2021-01-01 05:30:00,474.4701234,0.11005,1
2021-01-01 05:45:00,362.3361354,0.11215,1
2021-01-01 06:00:00,360.5942708,0.1077,1
2021-01-01 06:15:00,341.2877558,0.1051,1
2021-01-01 06:30:00,682.4287866,0.0806,1
2021-01-01 06:45:00,1442.613068,0.08465,1
2021-01-01 07:00:00,610.5235676,0.0928,1
2021-01-01 07:15:00,509.6792223,0.07835,1
2021-01-01 07:30:00,358.4971358,0.0643,1
2021-01-01 07:45:00,351.3657713,0.0478,1
2021-01-01 08:00:00,313.7609538,0.02335,1
2021-01-01 08:15:00,381.9773115,0.0157,1
2021-01-01 08:30:00,466.7071701,0.0123,1
2021-01-01 08:45:00,368.4412957,0.0068,1
2021-01-01 09:00:00,333.2305164,0.00315,1
2021-01-01 09:15:00,326.1342855,0,1
2021-01-01 09:30:00,465.999273,0,1
2021-01-01 09:45:00,495.688416,0,1
2021-01-01 10:00:00,518.8356588,0,0
2021-01-01 10:15:00,575.1969505,0,0
2021-01-01 10:30:00,656.3049163,0,0
2021-01-01 10:45:00,654.9972194,0,0
2021-01-01 11:00:00,540.1054059,0,0
2021-01-01 11:15:00,572.5240733,0,0
2021-01-01 11:30:00,516.0640821,0,0
2021-01-01 11:45:00,509.9537945,0,0
2021-01-01 12:00:00,575.4114513,0,0
2021-01-01 12:15:00,547.7087499,0,0
2021-01-01 12:30:00,482.5908898,0,0
2021-01-01 12:45:00,478.4798653,0,0
2021-01-01 13:00:00,484.1027771,0,0
2021-01-01 13:15:00,519.9073655,0,0
2021-01-01 13:30:00,548.506774,0,0
2021-01-01 13:45:00,487.6139909,0,0
2021-01-01 14:00:00,455.2700004,0,0
2021-01-01 14:15:00,397.765757,0,0
2021-01-01 14:30:00,402.9999804,0,0
2021-01-01 14:45:00,357.0075406,0,0
2021-01-01 15:00:00,362.6021468,0,0
2021-01-01 15:15:00,323.6501885,0,0
2021-01-01 15:30:00,325.362014,0,0
2021-01-01 15:45:00,305.489191,0,0
2021-01-01 16:00:00,342.6349177,0,0
2021-01-01 16:15:00,315.2711601,0,0
2021-01-01 16:30:00,314.0398258,0,0
2021-01-01 16:45:00,300.0876351,0,0
2021-01-01 17:00:00,301.5935378,0,0
2021-01-01 17:15:00,327.4685778,0,0
2021-01-01 17:30:00,372.6115176,0,0
2021-01-01 17:45:00,328.5969509,0,0
2021-01-01 18:00:00,291.3602327,0,0
2021-01-01 18:15:00,315.9610316,0,0
2021-01-01 18:30:00,306.6861865,0,0
2021-01-01 18:45:00,331.4225426,0,0
2021-01-01 19:00:00,333.3763739,0,0
2021-01-01 19:15:00,353.0604465,0,0
2021-01-01 19:30:00,385.8420686,0,0
2021-01-01 19:45:00,381.2179253,0,0
2021-01-01 20:00:00,311.9058038,0,0
2021-01-01 20:15:00,318.6699492,0,0
2021-01-01 20:30:00,329.1160511,0.0016,0
2021-01-01 20:45:00,371.8821579,0.0025,0
2021-01-01 21:00:00,361.1262904,0.00285,0
2021-01-01 21:15:00,350.3232059,0.0041,0
2021-01-01 21:30:00,367.51631,0.00825,0
2021-01-01 21:45:00,374.2092284,0.01325,0
2021-01-01 22:00:00,325.8614068,0.0129,40e3
2021-01-01 22:15:00,347.7833104,0.00735,1
2021-01-01 22:30:00,438.0691949,0.0179,1
2021-01-01 22:45:00,488.5021116,0.0246,1
2021-01-01 23:00:00,578.3014358,0.0346,1
2021-01-01 23:15:00,380.7880315,0.0387,1
2021-01-01 23:30:00,351.0439813,0.04745,1
2021-01-01 23:45:00,363.8849628,0.0587,1
